,Specialty,specialties(table),Vet,vet_specialties(table),vetList(html),VetRepository,VetController,vets(table),Vets,CacheConfiguration,Visit,VisitRepository,VisitController,visits(table),createOrUpdateVisitForm(html),OwnerController,Owner,ownerDetails(html),createOrUpdateOwnerForm(html),ownersList(html),OwnerRepository,owners(table),Pet,createOrUpdatePetForm(html),PetRepository,PetController,pets(table),PetType,types(table),PetValidator,PetTypeFormatter,findOwners(html),BaseEntity,NamedEntity,Person,PetClinicApplication,WelcomeController,CrashController,error(html),inputField(html),selectField(html),welcome(html),layout(html),package-info
Specialty,1.0,14.58489003441937,31.098889207148904,18.96020279306018,31.098889207148904,31.098889207148904,31.098889207148904,31.703530526277007,31.703530526277007,-0.8486970099079184,-0.608824369471774,-0.608824369471774,-0.608824369471774,-2.4542036530520526,-3.673371223004301,-3.611929983088541,-3.611929983088541,-2.579349453592625,-5.407329921127554,-0.6477106335769013,-3.611929983088541,-0.6477106335769013,-6.37456028673053,-6.828157279783674,-6.37456028673053,-6.37456028673053,-3.241933096709831,-9.166366794906592,-11.008546992991905,-4.941445959414961,-8.751335755960557,-0.6477106335769013,16.843127982024633,18.531162020190166,19.05191793141881,-7.120265644167838,-0.2904644982954724,-0.847129425708767,0.0,-0.8707491079407536,-9.105381367627809,-0.2904644982954724,17.81324438320122,0.0
specialties(table),14.58489003441937,1.0,29.774582791319645,9.121475899906741,29.774582791319645,29.774582791319645,29.774582791319645,27.967425233996853,27.967425233996853,-1.8058988423179505,-0.9960323457330251,-0.9960323457330251,-0.9960323457330251,-5.385936189339215,-0.9740502177020066,0.121656862810322,0.121656862810322,-0.583992195951617,-0.5026877991763008,-0.134511802330863,0.121656862810322,-0.134511802330863,-2.465208149927909,-1.7888268086145878,-2.465208149927909,-2.465208149927909,-2.4679388587771482,-4.5819757830485806,-11.371494154185102,-1.2581246849898082,-5.7415013586076205,-0.134511802330863,15.459481041745914,19.345225801517966,20.250628103837975,-5.1198740183966045,-0.48334751263414605,-1.0647992296593063,0.0,-1.4773691789585612,-5.310940738864671,-0.48334751263414605,15.364376049968463,0.0
Vet,31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
vet_specialties(table),18.96020279306018,9.121475899906741,9.232502314785737,1.0,9.232502314785737,9.232502314785737,9.232502314785737,13.75319600594705,13.75319600594705,-2.603221726297373,-2.958355765013192,-2.958355765013192,-2.958355765013192,-7.116815713708647,-2.8825681968163956,-4.520859621156306,-4.520859621156306,-4.072013357250546,-3.734743187240911,-4.126675192006399,-4.520859621156306,-4.126675192006399,-12.956542731589746,-8.164809713808408,-12.956542731589746,-12.956542731589746,-10.502122625317106,-12.813547044279012,-9.240013416469559,-10.004418870601612,-12.224562978618492,-4.126675192006399,15.70495829623847,17.370278586895633,16.05430255657541,-14.326258373201657,-2.1435276482187353,-1.9964093222441366,0.0,-2.0449286080168325,-5.016953172812987,-2.1435276482187353,16.168747274539697,0.0
vetList(html),31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
VetRepository,31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
VetController,31.098889207148904,29.774582791319645,1.0,9.232502314785737,1.0,1.0,1.0,9.704943588122287,9.704943588122287,-2.1494282672831972,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-5.424693124005257,-3.411744070061315,-7.0097877864695946,-7.0097877864695946,-5.61618472302952,-5.184144441595748,-6.151583230936895,-7.0097877864695946,-6.151583230936895,-17.259267164700013,-10.639539900606106,-17.259267164700013,-17.259267164700013,-13.517273180152676,-14.91220618442714,-2.638588420769315,-13.975959880992583,-12.848562164890323,-6.151583230936895,18.123804333663507,16.75229148371509,13.836710602291259,-16.675723631880988,-2.779421613267342,-1.9704208773743415,0.0,-1.62934362363816,-2.3010417195656596,-2.779421613267342,18.926039211289332,0.0
vets(table),31.703530526277007,27.967425233996853,9.704943588122287,13.75319600594705,9.704943588122287,9.704943588122287,9.704943588122287,1.0,1.0,-1.6277859803865147,-1.0934916383841495,-1.0934916383841495,-1.0934916383841495,-5.204902057578902,-2.0766334370643733,-3.553359830742699,-3.553359830742699,-2.7189540985705203,-3.3657381897380385,-8.970361256555714,-3.553359830742699,-8.970361256555714,-13.37633898116918,-8.452500340992623,-13.37633898116918,-13.37633898116918,-13.88042328357088,-11.386955162560021,-5.86230654892308,-10.531331804371833,-8.97516827735541,-8.970361256555714,16.903366129261002,21.53358937622821,16.185105916448393,-12.651266841654978,-5.441962009518815,-2.4529874886686165,0.0,-2.667603580614424,-0.698984058264934,-5.441962009518815,18.700114425751266,0.0
Vets,31.703530526277007,27.967425233996853,9.704943588122287,13.75319600594705,9.704943588122287,9.704943588122287,9.704943588122287,1.0,1.0,-1.6277859803865147,-1.0934916383841495,-1.0934916383841495,-1.0934916383841495,-5.204902057578902,-2.0766334370643733,-3.553359830742699,-3.553359830742699,-2.7189540985705203,-3.3657381897380385,-8.970361256555714,-3.553359830742699,-8.970361256555714,-13.37633898116918,-8.452500340992623,-13.37633898116918,-13.37633898116918,-13.88042328357088,-11.386955162560021,-5.86230654892308,-10.531331804371833,-8.97516827735541,-8.970361256555714,16.903366129261002,21.53358937622821,16.185105916448393,-12.651266841654978,-5.441962009518815,-2.4529874886686165,0.0,-2.667603580614424,-0.698984058264934,-5.441962009518815,18.700114425751266,0.0
CacheConfiguration,-0.8486970099079184,-1.8058988423179505,-2.1494282672831972,-2.603221726297373,-2.1494282672831972,-2.1494282672831972,-2.1494282672831972,-1.6277859803865147,-1.6277859803865147,-34.0,0.422190763508795,0.422190763508795,0.422190763508795,-0.45008634095291583,-5.09422885063636,-1.613091395049911,-1.613091395049911,-4.026806916029796,-6.588588695832351,-1.893873749049681,-1.613091395049911,-1.893873749049681,-0.6555034747929626,-5.9411771628831636,-0.6555034747929626,-0.6555034747929626,-0.9373146332265057,-4.963492724198466,-6.877924506685049,-5.398654317332231,-12.40363004391891,-1.893873749049681,-6.414567430066607,-0.48429198160843856,-2.519774530251556,-4.610160097846829,-1.038591181402357,-5.502603355784403,0.0,-6.186016894813437,-4.6632558738305585,-1.038591181402357,-14.425175681633185,0.0
Visit,-0.608824369471774,-0.9960323457330251,-3.5050931758805484,-2.958355765013192,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-1.0934916383841495,-1.0934916383841495,0.422190763508795,0.9999999999999929,0.9999999999999929,-9.25126265847084,12.872474723449407,2.6811155264477726,31.950283399584933,31.950283399584933,28.04185609975763,16.612324177504394,23.43210306619888,31.950283399584933,33.68336572466971,30.411899448675108,15.960381495899977,30.411899448675108,20.160636790204276,32.52358854738034,30.88543788383172,37.71898018522723,21.855461332832117,22.5079907594671,23.43210306619888,27.436734385602414,24.095279634500287,27.625534175544843,-7.274156113459847,-10.086485135269417,-1.479101879759969,0.0,35.64112414954574,17.079800967695157,-10.086485135269417,26.602919252290313,0.0
VisitRepository,-0.608824369471774,-0.9960323457330251,-3.5050931758805484,-2.958355765013192,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-1.0934916383841495,-1.0934916383841495,0.422190763508795,0.9999999999999929,0.9999999999999929,-9.25126265847084,12.872474723449407,2.6811155264477726,31.950283399584933,31.950283399584933,28.04185609975763,16.612324177504394,23.43210306619888,31.950283399584933,33.68336572466971,30.411899448675108,15.960381495899977,30.411899448675108,20.160636790204276,32.52358854738034,30.88543788383172,37.71898018522723,21.855461332832117,22.5079907594671,23.43210306619888,27.436734385602414,24.095279634500287,27.625534175544843,-7.274156113459847,-10.086485135269417,-1.479101879759969,0.0,35.64112414954574,17.079800967695157,-10.086485135269417,26.602919252290313,0.0
VisitController,-0.608824369471774,-0.9960323457330251,-3.5050931758805484,-2.958355765013192,-3.5050931758805484,-3.5050931758805484,-3.5050931758805484,-1.0934916383841495,-1.0934916383841495,0.422190763508795,-9.25126265847084,-9.25126265847084,1.0,2.6212120649785753,12.932378184918612,21.6990207411141,21.6990207411141,17.7905934412868,-8.136413164024766,-1.3166342753302793,21.6990207411141,23.43210306619888,20.160636790204276,-8.788355845629184,20.160636790204276,-4.588100551324884,22.272325888909513,20.634175225360888,27.467717526756402,-2.8932760086970446,-2.240746582062063,-1.3166342753302793,19.066613474768907,15.72515872366678,19.255413264711336,-7.274156113459847,-10.086485135269417,-1.479101879759969,0.0,25.389861491074907,-7.668936373834002,-10.086485135269417,18.232798341456807,0.0
visits(table),-2.4542036530520526,-5.385936189339215,-5.424693124005257,-7.116815713708647,-5.424693124005257,-5.424693124005257,-5.424693124005257,-5.204902057578902,-5.204902057578902,-0.45008634095291583,12.872474723449407,12.872474723449407,2.6212120649785753,1.0,11.750223308972796,31.506922181221192,31.506922181221192,32.3737014350713,20.26272869402898,22.201070751328714,31.506922181221192,32.45233340979955,29.445253525606674,19.168602439756377,29.445253525606674,19.193990867135845,30.759211688341107,29.552400234961528,33.06960624184157,21.893884361677287,21.051529628773583,22.201070751328714,25.799393683298838,25.156584248879014,26.38571564997515,-8.161181915085532,-6.846502815766691,-1.649878088160325,0.0,31.737693585434826,20.363279016779963,-6.846502815766691,24.797810817966756,0.0
createOrUpdateVisitForm(html),-3.673371223004301,-0.9740502177020066,-3.411744070061315,-2.8825681968163956,-3.411744070061315,-3.411744070061315,-3.411744070061315,-2.0766334370643733,-2.0766334370643733,-5.09422885063636,2.6811155264477726,2.6811155264477726,12.932378184918612,11.750223308972796,1.0,21.90871574100668,21.90871574100668,15.613459881875977,-27.40564133350408,-4.778595170832256,21.90871574100668,19.970142170696903,20.825839712921763,-27.034401566043964,20.825839712921763,-3.9228976286073998,21.22088289127045,17.291285429338892,20.5955070991803,-6.444414265159795,-9.548673068163207,-4.778595170832256,18.865557375942338,15.038833793756151,16.98870137832437,-8.954044393411483,-11.772195019739254,-2.765268874423853,0.0,18.03494037189176,-11.784205604477362,-11.772195019739254,13.873948027937917,0.0
OwnerController,-3.611929983088541,0.121656862810322,-7.0097877864695946,-4.520859621156306,-7.0097877864695946,-7.0097877864695946,-7.0097877864695946,-3.553359830742699,-3.553359830742699,-1.613091395049911,31.950283399584933,31.950283399584933,21.6990207411141,31.506922181221192,21.90871574100668,1.0,1.0,12.387456778071488,7.502857806516296,1.3636422830996118,1.0,11.614904941570444,26.146040170447286,18.758987771510604,26.146040170447286,15.894777511976452,29.00205932198707,26.225106943269978,34.16750996973462,16.393378021528786,17.059373959435817,1.3636422830996118,28.20399361117824,23.461576811004253,21.27053177875412,-8.051098682078097,-2.6088652109577986,-1.7119631186762905,0.0,35.88556699583191,25.85925624752962,-2.6088652109577986,23.96086943011445,0.0
Owner,-3.611929983088541,0.121656862810322,-7.0097877864695946,-4.520859621156306,-7.0097877864695946,-7.0097877864695946,-7.0097877864695946,-3.553359830742699,-3.553359830742699,-1.613091395049911,31.950283399584933,31.950283399584933,21.6990207411141,31.506922181221192,21.90871574100668,1.0,1.0,12.387456778071488,7.502857806516296,1.3636422830996118,1.0,11.614904941570444,26.146040170447286,18.758987771510604,26.146040170447286,15.894777511976452,29.00205932198707,26.225106943269978,34.16750996973462,16.393378021528786,17.059373959435817,1.3636422830996118,28.20399361117824,23.461576811004253,21.27053177875412,-8.051098682078097,-2.6088652109577986,-1.7119631186762905,0.0,35.88556699583191,25.85925624752962,-2.6088652109577986,23.96086943011445,0.0
ownerDetails(html),-2.579349453592625,-0.583992195951617,-5.61618472302952,-4.072013357250546,-5.61618472302952,-5.61618472302952,-5.61618472302952,-2.7189540985705203,-2.7189540985705203,-4.026806916029796,28.04185609975763,28.04185609975763,17.7905934412868,32.3737014350713,15.613459881875977,12.387456778071488,12.387456778071488,0.9999999999999929,7.834845461436622,8.873709797246727,12.387456778071488,19.12497245571756,26.839312285020505,14.386379891212387,26.839312285020505,16.588049626549672,28.626858846996264,25.450631010108022,31.302071781238098,16.126386430305594,15.897156223568498,8.873709797246727,27.83745870309226,23.697597510181154,21.040688235110295,-8.672398313714268,-2.8987269463038463,-3.6329086271647397,0.0,30.82065487487391,23.82780472976498,-2.8987269463038463,22.72162618974441,0.0
createOrUpdateOwnerForm(html),-5.407329921127554,-0.5026877991763008,-5.184144441595748,-3.734743187240911,-5.184144441595748,-5.184144441595748,-5.184144441595748,-3.3657381897380385,-3.3657381897380385,-6.588588695832351,16.612324177504394,16.612324177504394,-8.136413164024766,20.26272869402898,-27.40564133350408,7.502857806516296,7.502857806516296,7.834845461436622,1.0,19.613556953430145,7.502857806516296,9.362294294959305,18.710869323777004,6.94317941812551,18.710869323777004,28.96213198224784,19.369727715412008,14.598826424079757,18.367961025864386,25.52874699860167,22.069868466058665,19.613556953430145,19.145152604540094,14.464354111364276,13.774771295453299,-9.829288621556344,-8.970388561733431,-3.076228701651912,0.0,17.41144145403415,26.478795634057185,-8.970388561733431,12.107620787891033,0.0
ownersList(html),-0.6477106335769013,-0.134511802330863,-6.151583230936895,-4.126675192006399,-6.151583230936895,-6.151583230936895,-6.151583230936895,-8.970361256555714,-8.970361256555714,-1.893873749049681,23.43210306619888,23.43210306619888,-1.3166342753302793,22.201070751328714,-4.778595170832256,1.3636422830996118,1.3636422830996118,8.873709797246727,19.613556953430145,1.0000000000000142,1.3636422830996118,-9.251262658470825,13.773409037988944,25.015473160905522,13.773409037988944,24.024671696459784,13.615292613756235,14.11734419834475,19.737655850752468,26.619670460065947,25.873725592639893,1.0000000000000142,19.424483602568145,17.45590180002498,17.061701823880938,-8.777721578507071,-4.6162867607044085,-0.8303004560070474,0.0,21.266352281274347,32.68770951943886,-4.6162867607044085,14.598928220962547,0.0
OwnerRepository,-3.611929983088541,0.121656862810322,-7.0097877864695946,-4.520859621156306,-7.0097877864695946,-7.0097877864695946,-7.0097877864695946,-3.553359830742699,-3.553359830742699,-1.613091395049911,31.950283399584933,31.950283399584933,21.6990207411141,31.506922181221192,21.90871574100668,1.0,1.0,12.387456778071488,7.502857806516296,1.3636422830996118,1.0,11.614904941570444,26.146040170447286,18.758987771510604,26.146040170447286,15.894777511976452,29.00205932198707,26.225106943269978,34.16750996973462,16.393378021528786,17.059373959435817,1.3636422830996118,28.20399361117824,23.461576811004253,21.27053177875412,-8.051098682078097,-2.6088652109577986,-1.7119631186762905,0.0,35.88556699583191,25.85925624752962,-2.6088652109577986,23.96086943011445,0.0
